n,name,kind,stage,when,confirmed,checked_on,organizer_url
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",регистрация,,1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Регистрация,1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Первый (отборочный) заочный этап,олимпиадное состязание 1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Итоги отборочного этапа,25 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Второй (финальный) очный этап в регионах,6 марта 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Итоги заключительного этапа,9 марта — 5 апреля 2027,да,2026-09-02,https://fin-olimp.ru/
2,«Формула Единства»/«Третье тысячелетие»,этап,Отборочный (заочный) этап,15.10.25 — 05.11.25 (сезон 2025/26),нет,2026-09-02,https://www.formulo.org/ru/olymp/
2,«Формула Единства»/«Третье тысячелетие»,этап,Заключительный этап,"9 марта 2026, 10:00–14:00 по местному времени; регистрация на финал до 5 марта (сезон 2025/26)",нет,2026-09-02,https://www.formulo.org/ru/olymp/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,Олимпиада целиком,"проводится с 1 сентября по 1 апреля, два обязательных этапа (ежегодная рамка Положения, без года сезона)",нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,"Первый, отборочный заочный этап",до 1 марта текущего учебного года (ежегодная рамка),нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,Итоги отборочного этапа,до 10 марта (ежегодная рамка),нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,"Второй, заключительный очный этап","Положение — с 1 февраля по 1 апреля, Регламент — с 1 марта по 1 апреля; документы организатора расходятся",нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,регистрация,,"запись открыта 26 августа — 22 октября 2026, окно одно на весь старший трек: отдельной записи на математические профили нет",да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Регистрация старшего трека, 8–11 классы",26 августа — 22 октября 2026,да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Этап I, индивидуальный отборочный",17 сентября — 23 октября 2026,да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Этап II, командный отборочный","5 ноября — 7 декабря 2026 (ручная проверка), до 11 декабря (автоматическая)",да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,Заключительный этап (финал),"февраль — апрель 2027, дни организатор не называет",да,2026-09-17,https://ntcontest.ru/participants/schedule/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,регистрация,,"1 сентября — 15 октября 2026, единая запись на все профили",да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,Регистрация участников,1 сентября — 15 октября 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Подготовка к отборочному этапу, онлайн-курс",октябрь 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Отборочный этап, дистанционно",16–18 октября 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Подготовка к полуфиналу, онлайн-курс",20 октября — 15 ноября 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Полуфинал, очно (Воронеж, Владивосток, Саратов, Москва)",16–21 ноября 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Подготовка к финалу, онлайн-курс",декабрь 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Финал, очно (Нижний Новгород)",14–20 декабря 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),регистрация,,1 июля — 20 сентября 2026,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Тренировочный этап и регистрация,1 июля — 20 сентября 2026,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Вебинар по подготовке к отборочному этапу,19 сентября,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Отборочный этап,21 сентября — 6 октября,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Результаты отборочного этапа и разбор заданий,12 октября,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,"Основной этап, тур 1, онлайн без прокторинга","14–16 октября, три задачи по ML",да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Итоги тура 1,17 октября,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,"Основной этап, тур 2","18 октября, лучшие 25% рейтинга решают одну задачу по ML с прокторингом, 10:00–12:00 МСК",да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Заключительный этап,16–21 ноября,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Итоги олимпиады и апелляция,20 ноября — у организатора стоит внутри окна заключительного этапа,да,2026-09-10,https://ai.edu.gov.ru/
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),этап,Награждение победителей и призёров,21 ноября,да,2026-09-10,https://ai.edu.gov.ru/
8,Всероссийская олимпиада школьников «Высшая проба»,регистрация,,"запись на профиль «Математика» — 20 августа — 21 сентября 2026 до 14:00 МСК; регистрация общая на все профили, отдельное окно только у «Анализа данных» и «Промышленного программирования»",да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,Регистрация,"20 августа — 21 сентября 2026, до 14:00 МСК",да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,"Отборочный этап, 1 тур",25 сентября — 11 октября 2026,да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,"Отборочный этап, 2 тур",13–22 ноября 2026,да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,Заключительный этап,5–15 февраля 2027,да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,Попрофильное расписание 1 тура,"25 сентября — 4 октября 2026, у каждого профиля свой день; утверждено протоколом оргкомитета от 11 сентября 2026",да,2026-09-18,https://olymp.hse.ru/mmo/
8,Всероссийская олимпиада школьников «Высшая проба»,этап,Попрофильное расписание 2 тура и заключительного этапа,"организатор обещает дни второго тура в октябре, заключительного — в январе 2027",нет,2026-09-18,https://olymp.hse.ru/mmo/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,регистрация,,сентябрь — ноябрь 2026; точных дней организатор пока не назвал,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,этап,Регистрация участников,сентябрь — ноябрь 2026,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,этап,"Первый (отборочный, заочный) этап, онлайн",начало декабря 2026,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,этап,Списки победителей и призёров отборочного этапа,декабрь 2026,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,этап,"Второй (заключительный, очный) этап",январь — февраль 2027 по расписанию,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,этап,Апелляция заключительного этапа,февраль 2027,да,2026-09-02,https://www.fa.ru/for-applicants/olympiads/mission/
10,Всероссийская олимпиада школьников «Юридические высоты!»,регистрация,,1 сентября 2026 — 11 января 2027,да,2026-09-02,https://www.usla.ru/entrance/olimp-yuridich-vysoty/
10,Всероссийская олимпиада школьников «Юридические высоты!»,этап,Регистрация,1 сентября 2026 — 11 января 2027,да,2026-09-02,https://www.usla.ru/entrance/olimp-yuridich-vysoty/
10,Всероссийская олимпиада школьников «Юридические высоты!»,этап,Отборочный этап,24 января 2027,да,2026-09-02,https://www.usla.ru/entrance/olimp-yuridich-vysoty/
10,Всероссийская олимпиада школьников «Юридические высоты!»,этап,Заключительный этап,27 февраля 2027,да,2026-09-02,https://www.usla.ru/entrance/olimp-yuridich-vysoty/
11,Всероссийская Сеченовская олимпиада школьников,регистрация,,с 00:01 МСК 1 октября до 23:59 МСК 29 октября 2026; регистрация общая на олимпиады по биологии и по химии и на первый (отборочный) этап,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Регистрация и первый (отборочный) этап,с 00:01 МСК 1 октября 2026 года до 23:59 МСК 29 октября 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Проведение первого (отборочного) этапа,с 00:01 МСК 10 ноября 2026 года до 23:59 МСК 30 ноября 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Проверка работ участников,с 1 декабря 2026 года по 4 декабря 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Предварительные результаты,8 декабря 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Апелляции,11 декабря 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Окончательные результаты отборочного этапа,18 декабря 2026 года,да,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,"Заключительный этап по биологии, 5–7 классы",7 февраля 2026 (сезон 2025/26),нет,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,"Заключительный этап по биологии, 8–9 классы",8 февраля 2026 (сезон 2025/26),нет,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,"Заключительный этап по биологии, 10 класс",14 февраля 2026 (сезон 2025/26),нет,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,"Заключительный этап по биологии, 11 класс",15 февраля 2026 (сезон 2025/26),нет,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
11,Всероссийская Сеченовская олимпиада школьников,этап,Награждение победителей и призёров,3 апреля 2026 (сезон 2025/26),нет,2026-09-16,https://www.sechenov.ru/univers/structure/institute/institut-profilnogo-obucheniya-impuls/otdel-organizatsii-i-provedeniya-olimpiad-konferen/vserossiyskaya-sechenovskaya-olimpiada-shkolnikov/
12,Всероссийская Толстовская олимпиада школьников,регистрация,,"1 декабря 2026, 09:00 — 1 января 2027, 23:59 МСК; регистрация идёт одним окном с отборочным этапом",да,2026-09-02,https://olymp.tsput.ru/
12,Всероссийская Толстовская олимпиада школьников,этап,"Регистрация, профили «Обществознание» и «Право»","1 декабря 2026, 09:00 — 1 января 2027, 23:59 МСК",да,2026-09-02,https://olymp.tsput.ru/
12,Всероссийская Толстовская олимпиада школьников,этап,"Отборочный заочный этап, профили «Обществознание» и «Право»","1 декабря 2026, 09:00 — 1 января 2027, 23:59 МСК",да,2026-09-02,https://olymp.tsput.ru/
12,Всероссийская Толстовская олимпиада школьников,этап,Заключительный очный этап,организатор пишет «информация обновляется» — график сезона 2026/27 ещё не опубликован,нет,2026-09-02,https://olymp.tsput.ru/
13,Всероссийский конкурс научных работ школьников «Юниор»,этап,Приём заявок,"1 декабря 2025 — 2 февраля 2026, в личном кабинете org.mephi.ru (сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/junior
13,Всероссийский конкурс научных работ школьников «Юниор»,этап,Итоги отборочного тура,февраль 2026 (сезон 2025/26),нет,2026-09-02,https://olymp.mephi.ru/junior
13,Всероссийский конкурс научных работ школьников «Юниор»,этап,Финал: предметная олимпиада и защита проектов,"3–5 апреля 2026, очно в НИЯУ МИФИ (сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/junior
13,Всероссийский конкурс научных работ школьников «Юниор»,этап,Финал: письменная часть по физике,"4 апреля, 10:00–13:00 (сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/junior
13,Всероссийский конкурс научных работ школьников «Юниор»,этап,Объявление результатов и награждение,"апрель 2026, церемония 5 апреля (сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/junior
14,Всесибирская открытая олимпиада школьников,регистрация,,"запись на отборочный по математике — 28 сентября — 16 октября 2026 (11:00 по Новосибирску); на заключительный этап записывают отдельно, 1–12 февраля 2027",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на отборочный этап,"28 сентября — 16 октября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Отборочный этап по математике,"18 октября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на заключительный этап,"1–12 февраля 2027, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Заключительный этап по математике,"14 февраля 2027, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на отборочный этап по физике,"26 октября — 13 ноября 2026, 11:00 по новосибирскому времени; закрывается за 48 часов до этапа",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Отборочный этап по физике,"15 ноября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Заключительный этап по физике,"14 марта 2027, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на отборочный этап по биологии,"12–30 октября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Отборочный этап по биологии,"1 ноября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Итоги отборочного этапа по биологии,20 декабря,да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Заключительный этап по биологии,"7 марта 2027, 11:00 по новосибирскому времени (в ленте организатора на той же странице стоит 6 марта — расхождение внутри сайта)",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Итоговые результаты по биологии,4 апреля,да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на отборочный этап по информатике,"19 октября — 6 ноября 2026, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Отборочный этап по информатике,"8 ноября 2026, 11:00 по новосибирскому времени, 5 часов",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Итоги отборочного этапа по информатике,25 декабря 2026,да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Регистрация на заключительный этап по информатике,1–19 февраля 2027,да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Заключительный этап по информатике,"21 февраля 2027, 11:00 по новосибирскому времени",да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
14,Всесибирская открытая олимпиада школьников,этап,Итоги заключительного этапа по информатике,21 марта 2027,да,2026-09-02,https://sesc.nsu.ru/olymp-vsesib/sections/maths/
15,Вузовско-академическая олимпиада по информатике,регистрация,,1 сентября — 15 ноября 2026,да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Регистрация,1 сентября — 15 ноября 2026,да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Доступы к отборочному этапу,"19 ноября 2026, инструкции и вход в Яндекс-контест",да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Отборочный этап,"23–29 ноября 2026, онлайн с прокторингом",да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Загрузка видеозаписей отборочного этапа,до 1 декабря 2026,да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Выбор площадки финала и подача документов,17–30 декабря 2026,да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
15,Вузовско-академическая олимпиада по информатике,этап,Заключительный этап,"31 января 2027, очно",да,2026-09-02,https://dovuz.urfu.ru/olymps/vuzakadem/
17,Городская открытая олимпиада школьников по физике,этап,Отборочный (районный) тур,22 ноября 2025 (сезон 2025/26),нет,2026-09-02,https://www.physolymp.spb.ru/
17,Городская открытая олимпиада школьников по физике,этап,"Заключительный теоретический тур, 9–11 классы",15 февраля 2026 (сезон 2025/26),нет,2026-09-02,https://www.physolymp.spb.ru/
17,Городская открытая олимпиада школьников по физике,этап,"Экспериментальный тур, 7–8 классы","15 марта 2026, ГФМЛ №30 (сезон 2025/26)",нет,2026-09-02,https://www.physolymp.spb.ru/
17,Городская открытая олимпиада школьников по физике,этап,"Экспериментальный тур, 9–11 классы","22 марта 2026, лицей 533 (сезон 2025/26)",нет,2026-09-02,https://www.physolymp.spb.ru/
18,Инженерная олимпиада школьников,этап,Очный отборочный тур в Москве,"12 октября 2025, НИЯУ МИФИ и часть регионов (сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/engineering/about
18,Инженерная олимпиада школьников,этап,Очные отборочные туры в регионах,15–16 ноября 2025 (сезон 2025/26),нет,2026-09-02,https://olymp.mephi.ru/engineering/about
18,Инженерная олимпиада школьников,этап,Дистанционный отборочный тур,17 ноября — 21 декабря 2025 (сезон 2025/26),нет,2026-09-02,https://olymp.mephi.ru/engineering/about
18,Инженерная олимпиада школьников,этап,Подведение итогов отборочных этапов,"январь (в графике организатора стоит «январь 2025» — опечатка организатора, сезон 2025/26)",нет,2026-09-02,https://olymp.mephi.ru/engineering/about
18,Инженерная олимпиада школьников,этап,Заключительный этап,1 февраля 2026 (сезон 2025/26),нет,2026-09-02,https://olymp.mephi.ru/engineering/about
18,Инженерная олимпиада школьников,этап,Подведение итогов заключительного этапа,апрель 2026 (сезон 2025/26),нет,2026-09-02,https://olymp.mephi.ru/engineering/about
19,Интернет-олимпиада школьников по физике,регистрация,,"регистрация на сезон 2026/27 уже открыта, дата закрытия не объявлена; записываться нужно заново каждый учебный год, оба дистанционных тура проходят под одним логином",да,2026-09-02,https://distolymp2.spbu.ru/olymp/
19,Интернет-олимпиада школьников по физике,этап,Регистрация участников,идёт регистрация 7–11 классов на олимпиаду 2026/2027 учебного года,да,2026-09-02,https://distolymp2.spbu.ru/olymp/
19,Интернет-олимпиада школьников по физике,этап,Дистанционный тур 1,22–28 ноября 2026 (предварительное расписание организатора),да,2026-09-02,https://distolymp2.spbu.ru/olymp/
19,Интернет-олимпиада школьников по физике,этап,Дистанционный тур 2,"17–23 января 2027, под тем же логином (предварительное расписание)",да,2026-09-02,https://distolymp2.spbu.ru/olymp/
19,Интернет-олимпиада школьников по физике,этап,Заключительный очный тур,"13 марта 2027, суббота (предварительное расписание)",да,2026-09-02,https://distolymp2.spbu.ru/olymp/
20,Кутафинская олимпиада школьников по праву,регистрация,,"1 октября 2026 — 11 января 2027 (включительно); к заявке прикладываются сканы заявления, согласий и справки из школы",да,2026-09-19,https://msal.ru/content/abiturientam/olimpiady-i-konkursy/kutafinskaya-olimpiada-shkolnikov-po-pravu/
20,Кутафинская олимпиада школьников по праву,этап,Регистрация на отборочный этап,1 октября 2026 — 11 января 2027,да,2026-09-19,https://msal.ru/content/abiturientam/olimpiady-i-konkursy/kutafinskaya-olimpiada-shkolnikov-po-pravu/
20,Кутафинская олимпиада школьников по праву,этап,"Отборочный этап, заочно","16 января 2027 для 8–10 классов, 17 января для 11 класса, 00:00–23:59 МСК",да,2026-09-19,https://msal.ru/content/abiturientam/olimpiady-i-konkursy/kutafinskaya-olimpiada-shkolnikov-po-pravu/
20,Кутафинская олимпиада школьников по праву,этап,"Заключительный этап, очно","27 февраля 2027 для 8–10 классов, 28 февраля для 11 класса",да,2026-09-19,https://msal.ru/content/abiturientam/olimpiady-i-konkursy/kutafinskaya-olimpiada-shkolnikov-po-pravu/
20,Кутафинская олимпиада школьников по праву,этап,"Итоги, списки победителей и призёров",26 марта 2027,да,2026-09-19,https://msal.ru/content/abiturientam/olimpiady-i-konkursy/kutafinskaya-olimpiada-shkolnikov-po-pravu/
22,Международная олимпиада «Innopolis Open»,регистрация,,"Сезон 2026/27 не объявлен: 15.09.2026 профиль «Информатика» по-прежнему пишет «Регистрация закрыта!», общая страница держит сроки 2025/26.",нет,2026-09-16,https://dovuz.innopolis.university/pre-olympiads/innopolis-open
22,Международная олимпиада «Innopolis Open»,этап,Первый отборочный тур,"3–9 ноября 2025, онлайн (сезон 2025/26)",нет,2026-09-16,https://dovuz.innopolis.university/pre-olympiads/innopolis-open
22,Международная олимпиада «Innopolis Open»,этап,Окончание регистрации,4 декабря 2025 в 15:00 МСК (сезон 2025/26),нет,2026-09-16,https://dovuz.innopolis.university/pre-olympiads/innopolis-open
22,Международная олимпиада «Innopolis Open»,этап,Второй отборочный тур,"8–14 декабря 2025, онлайн (сезон 2025/26)",нет,2026-09-16,https://dovuz.innopolis.university/pre-olympiads/innopolis-open
22,Международная олимпиада «Innopolis Open»,этап,Финальный этап,"27 февраля — 1 марта 2026, очно (сезон 2025/26)",нет,2026-09-16,https://dovuz.innopolis.university/pre-olympiads/innopolis-open
23,Международная олимпиада по финансовой безопасности,регистрация,,отдельного окна записи организатор не называет: вход в сезон идёт через пригласительный этап на платформе «Содружество»,да,2026-09-02,https://rosfinolymp.ru/
23,Международная олимпиада по финансовой безопасности,этап,Квалификационный этап: сбор мотивационных писем,1 июня — 2 сентября 2026 (VI олимпиада),да,2026-09-02,https://rosfinolymp.ru/
23,Международная олимпиада по финансовой безопасности,этап,Квалификационный этап: отбор участников,2–3 сентября 2026 (VI олимпиада),да,2026-09-02,https://rosfinolymp.ru/
23,Международная олимпиада по финансовой безопасности,этап,Финальный этап,27 сентября — 2 октября 2026 (VI олимпиада),да,2026-09-02,https://rosfinolymp.ru/
24,Международная олимпиада школьников «Евразийская лингвистическая олимпиада»,регистрация,,16 ноября – 30 декабря 2026 (регистрация личного кабинета); задания отборочного этапа доступны 17 ноября 2026 – 14 января 2027,да,2026-09-02,https://elo.linguanet.ru/
